Timestamp,PT-3,PT-4,PT-5,PT-6,PT-7,PT-8,PT-9,PT-10,Temperatura EF,Temperatura SF,Temperatura Tanque,Setpoint Conductividad,Salida Conductividad,Setpoint Temperatura,Presión Transmembrana,Nivel,Valvula 27,C. Deareación,Protector Calefactor,Aire en Sangre,Sangre en dializante,Purga de aire,Cond. Sensor patrón,Temp. Sensor patrón,Cond. Sensor raw
2026-06-17 13:43:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.87540443681017,36.92999430612678,36.824697394286254,14.0,0.0,35.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-17 13:43:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.57695524707729,37.21862016137017,37.27446628376445,14.0,0.0,35.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-17 13:43:37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.050447839601574,36.85415079326473,36.94808433783988,14.0,0.0,35.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-17 13:43:37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.759559547609335,36.891621507411614,36.910683012629626,14.0,0.0,35.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-17 13:43:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.96950140370936,37.29670654836356,37.25073023835515,14.0,0.0,35.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-17 13:43:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.95553541284472,37.282044533578215,36.72632953504439,14.0,0.0,35.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-17 13:43:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.652358502304274,37.202488697930356,36.91637601839624,14.0,0.0,35.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-17 13:43:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.847932404324936,36.89430363129717,36.916682675478484,14.0,0.0,35.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-17 13:43:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.69415155659543,37.39143115748195,36.9571684587252,14.0,0.0,35.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-17 13:43:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.99639195141562,37.29435107713959,37.016275807582,14.0,0.0,35.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
