timestamp,heitmann_l,ktv,type,therapy_minutes
2026-07-29 13:47:26,34.12,0.0,Manual,4.283333333333333
2026-07-29 14:02:16,34.12,0.0,Automatic,19.116666666666667
2026-07-29 14:17:16,34.1,0.0,Automatic,34.11666666666667
2026-07-29 14:32:16,34.08,0.0,Automatic,49.11666666666667
2026-07-29 14:47:16,34.06,0.0,Automatic,64.11666666666666
2026-07-29 15:02:17,34.04,0.0,Automatic,79.11666666666666
2026-07-29 15:17:17,34.01,0.0,Automatic,94.11666666666666
2026-07-29 15:32:17,33.98,0.0,Automatic,109.11666666666666
2026-07-29 15:47:17,33.94,0.0,Automatic,124.11666666666666
2026-07-29 16:02:17,33.91,0.0,Automatic,139.11666666666667
2026-07-29 16:17:16,33.89,0.0,Automatic,154.11666666666667
